Env_Chitala Env_Chitedze Env_Nakabango Env_Serere
303.0195 92.81913 21.12582 74.93946
311.2074 99.51819 25.85541 85.10912
321.4548 111.287 27.36273 81.18435
312.1791 103.0446 25.44782 80.70047
310.4117 95.89144 22.89536 73.74681
320.5957 103.0978 29.66158 88.94368
317.9914 111.9377 33.28037 96.28488
327.722 120.5209 46.53634 96.41821
332.7352 118.6671 44.74983 97.688
322.9671 109.3454 35.85514 96.78906
328.5513 103.3324 40.50019 92.92028
323.0523 107.8462 33.50607 91.15708
328.7558 112.6182 41.78819 99.63088
320.4802 114.1953 40.59321 100.7134
322.2191 108.2031 36.76527 97.74036
339.2083 122.7937 55.76297 102.4812
344.2378 125.1644 56.23322 119.7664
344.9738 128.9313 57.75793 118.0312
359.1051 139.2627 70.10406 126.572
350.199 133.7356 62.93298 120.9303
351.9882 142.4241 67.12983 118.4211
352.2483 137.0488 68.57185 118.8778
355.7351 139.302 71.76674 123.1548
368.2576 157.8281 79.31808 132.5797
370.8129 154.9163 87.62856 140.4477
372.7259 154.3328 87.68486 146.7407
381.1631 169.1819 96.05278 141.4732
373.0588 156.4462 88.09403 143.939
368.8179 161.6073 84.98256 140.9805
368.6094 147.2838 72.01996 130.9446
363.7052 144.4103 78.60642 130.1806
385.3137 169.301 90.74414 153.6314
392.9045 173.1874 98.91542 157.7117
383.8763 166.9379 93.09609 148.182
378.3829 165.7914 85.46778 146.7783
383.2871 161.782 84.64747 148.9002
371.9538 161.8554 90.81519 147.0412
377.638 163.4306 92.83095 151.0045
383.9683 168.2777 88.4688 149.9846
383.7427 178.9574 98.82412 157.6636
387.0469 172.3783 100.6107 160.7132
404.2935 186.3118 112.8491 172.2754
403.5413 198.7771 115.452 175.0606
406.8 184.343 128.9489 169.907
390.1065 177.5987 101.3478 157.4639
394.5143 178.2434 108.8099 157.5862
410.7486 200.3499 126.1777 178.4027
396.2459 187.6248 117.7328 171.44
399.1688 194.7574 111.6737 163.6168
392.7996 174.4764 106.6931 163.8815
408.134 184.9126 114.4428 167.242
404.5676 192.1083 118.0578 179.9136
427.9049 205.3138 134.1678 191.2287
415.076 201.9138 128.7864 184.4419
425.9957 217.6822 137.4015 202.1434
428.0565 215.0973 141.4418 203.151
428.0321 218.2566 143.4303 199.417
424.226 217.4055 141.1737 196.4163
418.6902 209.8552 131.0452 192.621
425.8587 207.3224 136.1032 185.2936
442.2925 226.8575 160.0846 207.577
448.1538 233.4639 167.3201 221.0256
452.6171 235.2127 158.6816 218.3949
446.0954 242.0498 168.1126 221.9168
458.5108 237.9177 172.1733 227.9268
460.2589 246.4813 172.5596 227.8025
469.4375 253.8518 184.499 234.2573
474.5067 256.8851 185.8781 241.9332
458.97 254.6134 175.2801 231.2531
474.0227 253.5338 190.7282 237.2491
474.0113 261.644 190.1873 245.0958
472.329 253.1062 177.8427 241.8607
462.7727 246.8037 172.9858 227.6936
455.1288 248.0108 168.6414 226.5275
435.0415 226.9471 151.4384 204.4457
434.1948 221.4528 151.3931 200.5206
436.9746 215.0568 147.1829 201.6488
432.3403 215.6217 144.2501 196.0023
418.9442 205.7421 138.3901 185.1611
409.343 193.1028 115.8715 175.4696
404.2526 192.4306 112.2503 177.1219
408.0729 198.5656 123.6376 172.1971
411.7827 202.8476 129.9859 187.9805
421.4268 196.0327 128.4566 185.6578
422.2884 216.1984 140.8522 194.3612
437.6453 220.0702 143.9814 192.9839
433.3683 209.9492 146.2528 200.5025
435.1304 223.432 151.944 206.3575
428.1667 213.8229 144.6619 193.7976
433.094 205.5057 137.0075 194.4928
429.3297 209.8254 141.2984 194.5958
435.0849 220.44 143.0487 199.8409
432.7041 224.4692 150.655 199.3224
425.4923 212.2069 141.8489 194.0827
422.4773 217.9265 142.423 194.2443
413.628 198.6285 118.9224 175.856
400.8273 190.0311 117.8116 176.167
410.8313 204.6485 124.1514 181.7579
418.5632 196.0949 128.6176 190.8387
412.4593 199.2953 128.6194 182.5649
417.3332 202.492 136.4109 188.1425
405.0074 197.9467 122.2349 180.494
411.4903 190.2685 124.4026 177.8658
415.02 203.7936 128.0942 183.9492
409.3144 199.0906 118.3552 182.5176
409.918 195.7068 116.6062 178.8842
