Env_Chitala Env_Chitedze Env_Nakabango Env_Serere
255.5434 44.46039 -33.80201 19.57067
251.4699 43.98099 -30.5934 21.35908
262.2583 49.70107 -19.04905 32.26751
273.4598 63.80891 -8.552726 46.18118
256.1266 48.46751 -26.38817 33.02898
247.5527 35.35608 -28.09841 23.84964
251.2786 45.30787 -24.79829 21.09893
249.5203 31.19202 -35.03725 17.92338
239.2002 32.39886 -46.93916 11.82965
238.8875 25.26266 -48.99332 10.42657
233.7845 20.70207 -48.18376 -4.063003
230.8839 16.5981 -52.32846 3.410398
228.9889 20.03575 -51.23097 4.53456
238.1984 23.9912 -44.97736 10.50445
236.2593 22.80324 -51.07219 10.21973
228.245 20.43372 -53.31967 7.535941
230.3349 16.31028 -54.28481 4.073035
220.556 8.785972 -63.09138 -11.28163
228.7789 18.61588 -50.41379 2.962029
238.3242 25.70724 -43.78702 8.019819
236.6541 21.48739 -49.18457 11.59169
241.8337 27.59943 -43.47316 15.42892
240.7951 24.19101 -44.54879 11.96572
231.2252 26.25621 -46.45104 9.005963
230.8324 22.51796 -51.68134 -3.23927
247.2025 29.0221 -43.40395 15.51692
243.6487 32.2658 -32.60558 18.28644
248.0449 38.9468 -27.00903 26.17513
253.6229 38.517 -31.91317 23.72021
256.474 44.81199 -24.03767 26.65848
254.1606 42.41945 -25.78438 27.84234
256.3561 38.91446 -29.97557 20.45621
261.9681 55.36122 -23.27076 33.40867
257.7513 46.18761 -28.44154 27.00965
261.5018 52.86522 -21.93159 31.65033
247.7221 33.07066 -39.48779 12.04227
248.8671 39.2073 -37.09756 14.30656
253.3651 44.21003 -24.45968 24.47809
255.026 45.03189 -26.95218 25.04095
259.203 43.72753 -27.48362 23.36237
262.2093 45.13683 -24.01839 32.6463
273.494 56.86579 -13.78432 40.82191
265.1689 57.11152 -15.14579 39.78769
252.0886 40.86815 -24.81822 21.21943
266.2286 54.23428 -14.7642 40.99707
275.0947 63.30402 -5.052053 47.98793
280.6434 67.49694 -6.32929 51.4057
278.1832 70.82059 -11.95421 43.33639
275.7394 64.79876 -6.35468 46.79344
266.4171 58.93801 -16.42478 41.14853
269.0437 59.61655 -7.581534 35.93169
254.6673 49.24761 -33.28591 23.66209
241.8775 34.53923 -39.45826 12.06829
240.7713 28.46644 -39.70361 9.638835
244.0853 40.2561 -39.76357 20.68422
245.2743 28.88561 -43.86095 8.289427
228.6555 24.36481 -48.85511 4.857841
233.756 27.34127 -45.69653 10.26081
231.7939 31.04151 -53.27589 5.533154
240.1108 21.7139 -49.3263 3.862918
243.0552 29.88699 -46.89786 14.94714
244.1498 29.20172 -44.87611 6.662711
245.7839 35.71086 -42.15521 15.82003
238.6244 36.2591 -40.28624 23.90089
237.0169 26.90016 -44.65985 13.30359
250.0057 30.53907 -33.53592 19.11281
252.6065 41.4948 -31.96397 23.27506
245.3851 35.00487 -34.58993 16.43178
243.4772 32.02645 -44.64493 12.00648
261.3182 45.1562 -22.48391 33.68042
266.5078 62.86636 -13.20007 48.54025
262.8557 50.54438 -19.37892 34.64025
260.9572 43.67672 -32.30346 29.86236
254.0659 49.43311 -28.38533 31.72386
250.3496 38.21923 -30.16547 21.19702
250.6376 38.72278 -36.07258 20.54005
242.6521 30.50787 -35.14245 14.74788
247.5948 36.59292 -39.05853 10.6649
247.9478 36.16288 -35.94029 12.39654
243.7667 37.46008 -37.25372 18.24833
249.7372 37.86628 -40.73114 18.1031
251.3809 39.98891 -41.13376 9.276363
248.1749 46.33522 -28.77608 22.57235
249.4516 40.30341 -29.75137 20.79441
259.7729 49.18531 -20.18285 36.20847
259.505 54.28905 -16.44471 33.64087
250.909 44.27883 -28.3853 27.89876
249.4155 42.46846 -32.5948 21.43013
256.8634 45.88649 -29.44883 23.80975
254.6669 47.36548 -26.88895 23.72259
260.0001 47.42656 -22.04604 31.48069
262.7789 55.33189 -23.40982 23.82824
271.3427 58.80424 -13.07736 43.1008
272.8038 63.79891 -6.21049 42.57192
273.71 61.37789 -11.36674 40.6065
270.1498 61.45752 -14.55254 36.62818
279.6937 71.79587 -3.049005 50.77378
274.7864 67.31384 -6.805374 45.17106
270.5165 63.04394 -6.276521 49.40752
267.2444 50.65256 -12.92864 39.2264
279.1576 69.17691 -9.628387 47.62733
276.7048 67.33657 -9.167456 48.3899
279.5769 67.60613 3.494242 53.29452
282.0978 71.58133 2.77017 50.17062
282.4989 66.52111 -0.187263 53.23066
279.5482 70.41832 -0.02015949 46.54691
277.7952 64.4413 -4.129679 43.46158
269.3253 60.42686 -5.129073 41.83439
270.0568 61.14225 -9.796258 40.82979
270.9254 65.70045 -4.198734 47.22341
283.5701 70.88664 -0.6113062 53.96838
269.8457 59.62363 -16.20591 39.69867
271.9878 56.98299 -19.13499 40.423
261.1041 44.16525 -21.0557 24.83657
259.3984 49.14954 -28.48805 26.79308
257.2465 43.08655 -23.80433 31.71089
251.0101 37.23103 -36.95158 23.86522
246.5691 40.57735 -36.72886 13.60462
247.977 38.84989 -35.51966 17.63975
237.9046 34.76003 -40.40276 12.12931
235.7293 24.02022 -46.86812 3.686941
234.3088 23.42605 -40.26572 11.13528
230.992 27.23988 -49.97515 -0.9118725
220.0649 13.21682 -58.19654 -10.60142
226.3281 8.191245 -67.53353 -0.1533999
220.8621 14.0958 -59.90219 -3.731569
236.4855 30.0732 -45.99832 0.2589497
